SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 1/22/2015
TIME: 4:31 PM

STIMULUS, RESPONSE
 8.920400E+9,   4.905E-1
 8.920500E+9,   4.895E-1
 8.920600E+9,   4.890E-1
 8.920700E+9,   4.895E-1
 8.920800E+9,   4.880E-1
 8.920900E+9,   4.880E-1
 8.921000E+9,   4.895E-1
 8.921100E+9,   4.870E-1
 8.921200E+9,   4.885E-1
 8.921300E+9,   4.870E-1
 8.921400E+9,   4.885E-1
 8.921500E+9,   4.885E-1
 8.921600E+9,   4.880E-1
 8.921700E+9,   4.865E-1
 8.921800E+9,   4.875E-1
 8.921900E+9,   4.880E-1
 8.922000E+9,   4.865E-1
 8.922100E+9,   4.885E-1
 8.922200E+9,   4.875E-1
 8.922300E+9,   4.875E-1
 8.922400E+9,   4.885E-1
 8.922500E+9,   4.875E-1
 8.922600E+9,   4.875E-1
 8.922700E+9,   4.865E-1
 8.922800E+9,   4.870E-1
 8.922900E+9,   4.875E-1
 8.923000E+9,   4.880E-1
 8.923100E+9,   4.870E-1
 8.923200E+9,   4.860E-1
 8.923300E+9,   4.865E-1
 8.923400E+9,   4.855E-1
 8.923500E+9,   4.846E-1
 8.923600E+9,   4.855E-1
 8.923700E+9,   4.855E-1
 8.923800E+9,   4.850E-1
 8.923900E+9,   4.850E-1
 8.924000E+9,   4.846E-1
 8.924100E+9,   4.855E-1
 8.924200E+9,   4.846E-1
 8.924300E+9,   4.850E-1
 8.924400E+9,   4.826E-1
 8.924500E+9,   4.836E-1
 8.924600E+9,   4.836E-1
 8.924700E+9,   4.841E-1
 8.924800E+9,   4.816E-1
 8.924900E+9,   4.831E-1
 8.925000E+9,   4.836E-1
 8.925100E+9,   4.816E-1
 8.925200E+9,   4.836E-1
 8.925300E+9,   4.826E-1
 8.925400E+9,   4.821E-1
 8.925500E+9,   4.836E-1
 8.925600E+9,   4.826E-1
 8.925700E+9,   4.811E-1
 8.925800E+9,   4.816E-1
 8.925900E+9,   4.826E-1
 8.926000E+9,   4.801E-1
 8.926100E+9,   4.811E-1
 8.926200E+9,   4.801E-1
 8.926300E+9,   4.806E-1
 8.926400E+9,   4.791E-1
 8.926500E+9,   4.796E-1
 8.926600E+9,   4.796E-1
 8.926700E+9,   4.811E-1
 8.926800E+9,   4.801E-1
 8.926900E+9,   4.786E-1
