SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 3/13/2015
TIME: 12:04 PM

STIMULUS, RESPONSE
 8.936400E+9,   4.643E-1
 8.936500E+9,   4.633E-1
 8.936600E+9,   4.638E-1
 8.936700E+9,   4.633E-1
 8.936800E+9,   4.648E-1
 8.936900E+9,   4.633E-1
 8.937000E+9,   4.628E-1
 8.937100E+9,   4.617E-1
 8.937200E+9,   4.638E-1
 8.937300E+9,   4.633E-1
 8.937400E+9,   4.633E-1
 8.937500E+9,   4.623E-1
 8.937600E+9,   4.643E-1
 8.937700E+9,   4.643E-1
 8.937800E+9,   4.617E-1
 8.937900E+9,   4.638E-1
 8.938000E+9,   4.633E-1
 8.938100E+9,   4.638E-1
 8.938200E+9,   4.623E-1
 8.938300E+9,   4.648E-1
 8.938400E+9,   4.638E-1
 8.938500E+9,   4.628E-1
 8.938600E+9,   4.633E-1
 8.938700E+9,   4.643E-1
 8.938800E+9,   4.638E-1
 8.938900E+9,   4.628E-1
 8.939000E+9,   4.638E-1
 8.939100E+9,   4.617E-1
 8.939200E+9,   4.623E-1
 8.939300E+9,   4.628E-1
 8.939400E+9,   4.638E-1
 8.939500E+9,   4.628E-1
 8.939600E+9,   4.581E-1
 8.939700E+9,   4.617E-1
 8.939800E+9,   4.623E-1
 8.939900E+9,   4.617E-1
 8.940000E+9,   4.612E-1
 8.940100E+9,   4.623E-1
 8.940200E+9,   4.628E-1
 8.940300E+9,   4.617E-1
 8.940400E+9,   4.623E-1
 8.940500E+9,   4.617E-1
 8.940600E+9,   4.638E-1
 8.940700E+9,   4.617E-1
 8.940800E+9,   4.623E-1
 8.940900E+9,   4.617E-1
 8.941000E+9,   4.628E-1
 8.941100E+9,   4.633E-1
 8.941200E+9,   4.628E-1
 8.941300E+9,   4.617E-1
 8.941400E+9,   4.623E-1
 8.941500E+9,   4.628E-1
 8.941600E+9,   4.628E-1
 8.941700E+9,   4.628E-1
 8.941800E+9,   4.617E-1
 8.941900E+9,   4.617E-1
 8.942000E+9,   4.607E-1
 8.942100E+9,   4.612E-1
 8.942200E+9,   4.560E-1
 8.942300E+9,   4.623E-1
 8.942400E+9,   4.597E-1
 8.942500E+9,   4.617E-1
 8.942600E+9,   4.628E-1
 8.942700E+9,   4.612E-1
 8.942800E+9,   4.617E-1
 8.942900E+9,   4.607E-1
 8.943000E+9,   4.623E-1
 8.943100E+9,   4.607E-1
 8.943200E+9,   4.607E-1
 8.943300E+9,   4.612E-1
 8.943400E+9,   4.612E-1
 8.943500E+9,   4.607E-1
 8.943600E+9,   4.607E-1
 8.943700E+9,   4.607E-1
 8.943800E+9,   4.617E-1
 8.943900E+9,   4.607E-1
 8.944000E+9,   4.607E-1
 8.944100E+9,   4.602E-1
 8.944200E+9,   4.612E-1
 8.944300E+9,   4.597E-1
 8.944400E+9,   4.612E-1
 8.944500E+9,   4.602E-1
 8.944600E+9,   4.602E-1
 8.944700E+9,   4.597E-1
 8.944800E+9,   4.586E-1
 8.944900E+9,   4.597E-1
 8.945000E+9,   4.597E-1
 8.945100E+9,   4.602E-1
 8.945200E+9,   4.591E-1
 8.945300E+9,   4.591E-1
 8.945400E+9,   4.586E-1
 8.945500E+9,   4.602E-1
 8.945600E+9,   4.607E-1
 8.945700E+9,   4.586E-1
 8.945800E+9,   4.597E-1
 8.945900E+9,   4.576E-1
 8.946000E+9,   4.581E-1
 8.946100E+9,   4.591E-1
 8.946200E+9,   4.586E-1
 8.946300E+9,   4.591E-1
 8.946400E+9,   4.591E-1
 8.946500E+9,   4.581E-1
 8.946600E+9,   4.586E-1
 8.946700E+9,   4.581E-1
 8.946800E+9,   4.581E-1
